event,sample
licks,103.0
licks,118.0
licks,473.0
licks,481.0
licks,483.0
licks,487.0
licks,488.0
licks,489.0
licks,489.0
licks,490.0
licks,491.0
licks,491.0
licks,492.0
licks,493.0
licks,494.0
licks,495.0
licks,496.0
licks,497.0
licks,507.0
licks,516.0
licks,526.0
licks,529.0
licks,531.0
licks,532.0
licks,534.0
licks,535.0
licks,536.0
licks,538.0
licks,538.0
licks,539.0
licks,539.0
licks,540.0
licks,541.0
licks,542.0
licks,542.0
licks,544.0
licks,545.0
licks,549.0
licks,550.0
licks,553.0
licks,578.0
licks,605.0
licks,634.0
licks,689.0
licks,754.0
licks,759.0
licks,763.0
licks,766.0
licks,768.0
licks,768.0
licks,769.0
licks,769.0
licks,770.0
licks,771.0
licks,771.0
licks,772.0
licks,776.0
licks,783.0
licks,785.0
licks,812.0
licks,813.0
licks,868.0
licks,1105.0
licks,1119.0
licks,1119.0
licks,1120.0
licks,1120.0
licks,1121.0
licks,1121.0
licks,1122.0
licks,1122.0
licks,1123.0
licks,1124.0
licks,1133.0
licks,1160.0
licks,1161.0
licks,1268.0
licks,1269.0
licks,1278.0
licks,1279.0
licks,1279.0
licks,1280.0
licks,1281.0
licks,1281.0
licks,1284.0
licks,1285.0
licks,1294.0
licks,1295.0
licks,1295.0
licks,1297.0
licks,1310.0
licks,1324.0
licks,1324.0
licks,1330.0
licks,1330.0
licks,1331.0
licks,1332.0
licks,1333.0
licks,1334.0
licks,1345.0
licks,1346.0
licks,1346.0
licks,1347.0
licks,1348.0
licks,1359.0
licks,1360.0
licks,1372.0
licks,1384.0
licks,1384.0
licks,1386.0
licks,1398.0
licks,1415.0
licks,1415.0
licks,1427.0
licks,1427.0
licks,1428.0
licks,1429.0
licks,1429.0
licks,1430.0
licks,1431.0
licks,1431.0
licks,1432.0
licks,1432.0
licks,1433.0
licks,1434.0
licks,1435.0
licks,1435.0
licks,1444.0
licks,1450.0
licks,1451.0
licks,1468.0
licks,1471.0
licks,1472.0
licks,1474.0
licks,1478.0
licks,1481.0
licks,1491.0
licks,1492.0
licks,1493.0
licks,1494.0
licks,1495.0
licks,1496.0
licks,1498.0
licks,1499.0
licks,1499.0
licks,1501.0
licks,1502.0
licks,1504.0
licks,1506.0
licks,1506.0
licks,1507.0
licks,1508.0
licks,1509.0
licks,1509.0
licks,1510.0
licks,1511.0
licks,1511.0
licks,1512.0
licks,1514.0
licks,1517.0
licks,1521.0
licks,1525.0
licks,1543.0
licks,1554.0
licks,1555.0
licks,1556.0
licks,1557.0
licks,1559.0
licks,1560.0
licks,1563.0
licks,1567.0
licks,1570.0
licks,1573.0
licks,1578.0
licks,1586.0
licks,1594.0
licks,1595.0
licks,1601.0
licks,1601.0
licks,1603.0
licks,1605.0
licks,1605.0
licks,1606.0
licks,1607.0
licks,1607.0
licks,1608.0
licks,1609.0
licks,1610.0
licks,1617.0
licks,1621.0
licks,1622.0
licks,1635.0
licks,1636.0
licks,1640.0
licks,1647.0
licks,1647.0
licks,1648.0
licks,1649.0
licks,1650.0
licks,1650.0
licks,1651.0
licks,1651.0
licks,1652.0
licks,1653.0
licks,1654.0
licks,1655.0
licks,1656.0
licks,1658.0
licks,1659.0
licks,1659.0
licks,1660.0
licks,1661.0
licks,1661.0
licks,1662.0
licks,1663.0
licks,1664.0
licks,1664.0
licks,1666.0
licks,1667.0
licks,1668.0
licks,1670.0
licks,1676.0
licks,1680.0
licks,1684.0
licks,1693.0
licks,1707.0
licks,1708.0
licks,1710.0
licks,1711.0
licks,1721.0
licks,1740.0
licks,1741.0
licks,1743.0
licks,1749.0
licks,1756.0
licks,1760.0
licks,1761.0
licks,1764.0
licks,1790.0
licks,1818.0
licks,1833.0
licks,1834.0
licks,1834.0
licks,1835.0
licks,1835.0
licks,1836.0
licks,1837.0
licks,1844.0
licks,1849.0
licks,1852.0
licks,1867.0
licks,1872.0
licks,1892.0
licks,1908.0
licks,1971.0
licks,1971.0
licks,1972.0
licks,1973.0
licks,1974.0
licks,1981.0
licks,1982.0
licks,1983.0
licks,1984.0
licks,1985.0
licks,1987.0
licks,1989.0
licks,1992.0
licks,2065.0
licks,2075.0
licks,2075.0
licks,2086.0
licks,2094.0
licks,2094.0
licks,2097.0
licks,2101.0
licks,2102.0
licks,2103.0
licks,2103.0
licks,2104.0
licks,2105.0
licks,2105.0
licks,2106.0
licks,2106.0
licks,2115.0
licks,2126.0
licks,2129.0
licks,2130.0
licks,2131.0
licks,2131.0
licks,2132.0
licks,2134.0
licks,2135.0
licks,2138.0
licks,2149.0
licks,2172.0
licks,2198.0
licks,2198.0
licks,2206.0
licks,2218.0
licks,2219.0
licks,2353.0
licks,2361.0
licks,2363.0
licks,2367.0
licks,2368.0
licks,2368.0
licks,2369.0
licks,2369.0
licks,2370.0
licks,2371.0
licks,2371.0
licks,2376.0
licks,2381.0
licks,2384.0
licks,2397.0
licks,2426.0
licks,2443.0
licks,2470.0
licks,2475.0
licks,2497.0
licks,2617.0
licks,2618.0
licks,2628.0
licks,2639.0
licks,2639.0
licks,2640.0
licks,2640.0
licks,2641.0
licks,2642.0
licks,2642.0
licks,2653.0
licks,2656.0
licks,2660.0
licks,2670.0
licks,2748.0
licks,2749.0
licks,2924.0
licks,2983.0
licks,2988.0
licks,2989.0
licks,2991.0
licks,2998.0
licks,2999.0
licks,2999.0
licks,3000.0
licks,3001.0
licks,3001.0
licks,3012.0
licks,3054.0
licks,3055.0
licks,3057.0
licks,3057.0
licks,3104.0
licks,3104.0
licks,3170.0
licks,3173.0
licks,3174.0
licks,3174.0
licks,3175.0
licks,3176.0
licks,3176.0
licks,3188.0
licks,3189.0
licks,3199.0
licks,3404.0
licks,3404.0
licks,3409.0
licks,3414.0
licks,3416.0
licks,3416.0
licks,3417.0
licks,3418.0
licks,3418.0
licks,3419.0
licks,3429.0
licks,3442.0
licks,3457.0
licks,3630.0
licks,3631.0
licks,3633.0
licks,3634.0
licks,3635.0
licks,3635.0
licks,3636.0
licks,3637.0
licks,3638.0
licks,3639.0
licks,3640.0
licks,3641.0
licks,3641.0
licks,3642.0
licks,3644.0
licks,3644.0
licks,3645.0
licks,3646.0
licks,3647.0
licks,3647.0
licks,3648.0
licks,3649.0
licks,3651.0
licks,3653.0
licks,3654.0
licks,3675.0
licks,3676.0
licks,3678.0
licks,3682.0
licks,3688.0
licks,3688.0
licks,3692.0
licks,3692.0
licks,3693.0
licks,3694.0
licks,3696.0
licks,3697.0
licks,3701.0
licks,3705.0
licks,3710.0
licks,3716.0
licks,3724.0
licks,3724.0
licks,3728.0
licks,3730.0
licks,3739.0
licks,3739.0
licks,3740.0
licks,3741.0
licks,3741.0
licks,3742.0
licks,3743.0
licks,3751.0
licks,3752.0
licks,3754.0
licks,3760.0
licks,3787.0
licks,3787.0
licks,3791.0
licks,3791.0
licks,3794.0
licks,3799.0
licks,3812.0
licks,3846.0
licks,3871.0
licks,4264.0
licks,4271.0
licks,4272.0
licks,4275.0
licks,4281.0
licks,4285.0
licks,4286.0
licks,4288.0
licks,4297.0
licks,4312.0
licks,4319.0
licks,4319.0
licks,4320.0
licks,4321.0
licks,4321.0
licks,4322.0
licks,4323.0
licks,4324.0
licks,4332.0
licks,4333.0
licks,4339.0
licks,4353.0
licks,4354.0
